Tags,Location (Lat / Long),Lon,Lat,Name,Username,Date,Day,Image URL,id,Material,Material_TT,Item,Item_TT,Brand,Brand_TT,ID_1,Manufacturer,Site Area_m2,Site_Length_m,Road_Width_m,Landuse_Type,Number_Road_Lanes,Both_Sides,Tract,Mean Income_households_2019_5year_census,Median Income_households,Cal_Enviro_Screen,Street Sweeping Schedule,Area_m2,TractID,Name_2,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,layer,path
,34.00390807/-117.35418161,-117.35418,34.00391,Site 7A,litterati-92684,16/09/2018 12:51:44 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/86267786-269c-33ef-a055-f9bd90d4206a-92684/180x180.jpg,1913708,Rubber,rubber,Rubber Brand,rubberbands,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
,34.00391076/-117.35417529,-117.35418,34.00391,Site 7A,litterati-92684,16/09/2018 12:52:04 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/90f46a75-2dff-3066-89f8-b66d27cc1c8d-92684/180x180.jpg,1913709,Plastic,plastic,,other,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
,34.00390902/-117.3541801,-117.35418,34.00391,Site 7A,litterati-92684,16/09/2018 12:52:25 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/8df63294-40c7-3a93-a864-de3244490bf2-92684/180x180.jpg,1913710,Metal,metal,,other,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
,34.00389286/-117.35420676,-117.35421,34.00389,Site 7A,litterati-92684,16/09/2018 12:52:56 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/c0221b1f-7072-34ee-934a-2cdb19670924-92684/180x180.jpg,1913711,Rubber,rubber,Balloon,balloons,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
,34.00390487/-117.35420766,-117.35421,34.00390,Site 7A,litterati-92684,16/09/2018 12:53:17 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/16d55d70-2ce8-3206-a6ea-584cb3445e19-92684/180x180.jpg,1913712,Metal,metal,,other,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
plastic,34.00390461/-117.35420749,-117.35421,34.00390,Site 7A,litterati-92684,16/09/2018 12:53:33 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/5e888216-b051-3555-86bb-f1cd51659ecf-92684/180x180.jpg,1913713,Plastic,plastic,,other,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
"plastic, styrofoam",34.0038856/-117.35431956,-117.35432,34.00389,Site 7A,litterati-92684,16/09/2018 12:54:22 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/07fe3d3f-140c-392d-b049-e18880cdb4cb-92684/180x180.jpg,1913714,Plastic,plastic,,other,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
cigarette,34.00388323/-117.35431557,-117.35432,34.00388,Site 7A,litterati-92684,16/09/2018 12:54:38 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/c1e73263-1100-355b-90d6-7fc14f7eacdc-92684/180x180.jpg,1913715,Plastic,plastic,Cigarette,cigarettes/cigartips,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
"scratcher, paper",34.00403928/-117.35453582,-117.35454,34.00404,Site 7A,litterati-92684,16/09/2018 12:55:26 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/9563071d-686d-3f47-a50a-e78ad4978fd4-92684/180x180.jpg,1913716,Paper,paper,Lottery Ticket,napkins,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
cigarette,34.00402629/-117.35461815,-117.35462,34.00403,Site 7A,litterati-92684,16/09/2018 12:56:05 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/f5a88f1e-195d-37f5-9402-ed5ed54447af-92684/180x180.jpg,1913717,Plastic,plastic,Cigarette,cigarettes/cigartips,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
"bottlecap, metal",34.00400822/-117.35467113,-117.35467,34.00401,Site 7A,litterati-92684,16/09/2018 12:56:31 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/df392057-23a0-3b17-8b6a-0fe24bbaf57d-92684/180x180.jpg,1913718,Metal,metal,Bottlecap,bottlecaps,Corona,Corona,5429,Corona,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
cigar package,34.00396316/-117.35478935,-117.35479,34.00396,Site 7A,litterati-92684,16/09/2018 12:57:05 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/ddec91e1-a9ca-3e4a-8f87-96612e35edd4-92684/180x180.jpg,1913719,Plastic,plastic,Tobacco Wrapper,tobaccopackaging&wrappers,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
