id,Material,Item,Brand
1913907,Paper,Cup,McDonalds
2021439,paper,food wrapper,mcdonalds
1913889,Plastic,Lid,McDonalds
1913907,Plastic,Lid,McDonalds
1929214,Plastic,Lid,mcdonalds
1943734,plastic,lid,mcdonalds
1982032,plastic,lid,mcdonalds
1913936,Plastic,Sauce Packet,McDonalds
1913889,Plastic,Straw,McDonalds
1913907,Plastic,Straw,McDonalds
1929214,Plastic,Straw,mcdonalds
1958833,plastic,straw,mcdonalds
1913818,Plastic,Wrapper,Mckesson
1970232,plastic,food wrapper,mini doughnut
1970114,paper,label,missy plus tops
1943668,plastic,Food Wrapper,nature valley
2021463,plastic,food wrapper,nature valley
1913870,Plastic,Food Wrapper,Nemos Chocolate Cake
1913921,Plastic,Beverage Bottle,Nestle
2021584,plastic,food wrapper,nestle
1929134,Plastic,Beverage Bottle,Niagara
1929134,Plastic,Bottle Cap,Niagara
1988547,plastic,cigarette,nxt
1970020,Paper,Cup,Ono Hawiian BBQ
1970020,Plastic,Lid,Ono Hawiian BBQ
1970020,Plastic,Straw,Ono Hawiian BBQ
1913866,Plastic,Container,Oral-B
1988552,paper,napkin,paper
1943731,paper,informational,Pink
1913828,Plastic,Styrofoam Cup,Polar Pop
1913783,Plastic,Food Wrapper,Pop Tarts
2004487,paper,cup,popeyes
2004455,plastic,lid,popeyes
1913857,Paper,Reciept,Popeyes
2021550,paper,reciept,popeyes
2004455,plastic,straw,popeyes
2004412,paper,straw wrapper,popeyes
1913815,Plastic,Lid,Prairie City Bakery
1913801,Cardboard,Box,Quaker
1913833,Plastic,Food Wrapper,Quaker
1913898,Paper,Box,Quickfix
1929140,Plastic,Food Wrapper,Red Vines
1929208,Plastic,Food Wrapper,reeses
1995049,plastic,food wrapper,reeses
1958765,glass,bottle,remy martin
2004440,plastic,food wrapper,resess
2021473,paper,food packaging,ritz
1913836,Plastic,Tobacco Wrapper,Royal Blunts
1913846,Paper,Lottery Ticket,Scratchers
2021477,plastic,food packaging,short n sweet
1958744,plastic,Tobacco Wrapper,Show
1988551,plastic,food packaging,skwinkles
2021540,plastic,food wrapper,slim jim
2021576,plastic,food wrapper,slim jim
1958869,Plastic,Lid,solo
1970147,plastic,food wrapper,sour neon gummi worms
1988562,plastic,food wrapper,sourpatchkids
1929145,Plastic,Food Wrapper,Sparkletts
1969993,plastic,Beverage Bottle,Springfield
1913918,Glass,Bottle,Sprite
1913896,Plastic,Food Wrapper,Sqwincher Sqweeze
1913723,Metal,Bottlecap,Starbucks
1970027,Plastic,cup,starbucks
1981963,plastic,cup,starbucks
1982067,plastic,cup,starbucks
2021572,plastic,cup,starbucks
2021603,plastic,cup,starbucks
1982067,plastic,lid,starbucks
1988518,paper,receipt,starbucks
1982067,plastic,straw,starbucks
2004382,paper,straw wrapper,starbucks
1943797,plastic,Food Wrapper,starburst
1913926,Plastic,Beverage Bottle,Stater Bros
1913789,Metal,Can,Steel Reserve
2026906,metal,bottle cap,stella artois
1913928,Paper,Cup,Subway
1970020,Paper,Cup,subway
1913928,Plastic,Lid,Subway
1970020,Plastic,Lid,subway
2021601,paper,napkin,subway
1913928,Plastic,Straw,Subway
1970020,Plastic,Straw,subway
1958708,metal,battery,sunbeam
1995040,metal,battery,sunbeam
1913754,Plastic,Tobacco Wrapper,Swisher Sweets
1913829,Plastic,Tobacco Wrapper,Swisher Sweets
1929183,Plastic,Tobacco Wrapper,Swisher Sweets
1913824,Plastic,Sauce Packet,Taco Bell
2021580,paper,food wrapper,tacobell
1913760,Plastic,Food Wrapper,Tajin
1913798,Paper,Cup,Tams Burger
1970045,metal,can,tecate
2027023,plastic,food wrapper,tilamook
1981982,Plastic,cigarette,time
1982106,plastic,cigarette,time
2026865,plastic,cigarette,time
1943738,plastic,Food Wrapper,tootsierool
1913759,Paper,Gum Wrapper,Trident
1929193,Paper,Gum Wrapper,Trident
1913931,Plastic,Food Wrapper,Troli
1913802,Plastic,Misc. Wrapper,Tylenol
2021552,paper,reciept,walmart
1958773,paper,Food Wrapper,weinerschnitzle
1929233,plastic,Food Wrapper,welches
2004436,paper,reciept,wells fargo
1982036,plastic,Beverage Bottle,winco
1982036,plastic,Bottle cap,winco
1913827,Plastic,Food Wrapper,Worthers
1943725,plastic,kitkat,wrapper
2021434,paper,gum wrapper,wrigleys
2021455,paper,gum wrapper,wrigleys
2021608,paper,gum wrapper,wrigleys
1995032,paper,box,zee
1995011,plastic,wrapper,Zee
1995014,plastic,wrapper,zee
1995017,plastic,wrapper,zee
1995019,Plastic,wrapper,zee
1995021,plastic,wrapper,zee
1995031,plastic,wrapper,zee
1995032,plastic,wrapper,zee
1995034,plastic,wrapper,zee
1995036,plastic,wrapper,zee
2004384,plastic,wrapper,zee
1913823,Plastic,Tobacco Wrapper,Zig-Zag
1943682,paper,bag,
1970190,paper,bag,
2021473,Plastic,bag,
1913711,Rubber,Balloon,
1913741,Rubber,Balloon,
1958872,Rubber,Balloon,
1995043,rubber,balloon,
2004418,rubber,balloon,
2004494,plastic,bandaid,
1995037,metal,battery,
1995037,metal,battery,
1970040,plastic,bead,
1929215,Plastic,Beverage Bottle,
1982073,plastic,Beverage Bottle,
1929221,metal,bolt,
1929174,Plastic,Bottle Cap,
1929199,plastic,bottle cap,
1958723,plastic,bottle cap,
1969999,plastic,bottle cap,
1981988,Plastic,Bottle cap,
1982073,plastic,bottle cap,
1995047,plastic,bottle cap,
1929137,Metal,Bottlecap,
1913728,Plastic,Bottlecap,
1913734,Plastic,Bottlecap,
1929138,Plastic,Bottlecap,
2021411,plastic,bottlecap,
1913803,Cardboard,Box,
1943660,paper,box,
1958875,metal,bullet,
1970112,plastic,car piece,
1958809,plastic,cd,
1970217,Plastic,cigarete,
1913790,Paper,Cigarette,
1929194,Paper,Cigarette,
1913704,Plastic,Cigarette,
1913715,Plastic,Cigarette,
1913717,Plastic,Cigarette,
1913749,Plastic,Cigarette,
1913811,Plastic,Cigarette,
1913832,Plastic,Cigarette,
1913871,Plastic,Cigarette,
1929129,Plastic,Cigarette,
1929175,Plastic,Cigarette,
1929185,Plastic,cigarette,
1929230,plastic,cigarette,
1943673,plastic,cigarette,
1943685,plastic,cigarette,
1943735,plastic,cigarette,
1943739,plastic,cigarette,
1943748,plastic,cigarette,
1943772,plastic,cigarette,
1943790,plastic,cigarette,
1958703,plastic,cigarette,
1958713,plastic,cigarette,
1958746,plastic,cigarette,
1958772,plastic,cigarette,
1958799,plastic,cigarette,
1958838,plastic,cigarette,
1958843,plastic,cigarette,
1958848,plastic,cigarette,
1958865,Plastic,cigarette,
1962382,Plastic,cigarette,
1962487,plastic,cigarette,
1970000,plastic,cigarette,
1970011,plastic,Cigarette,
1970014,Plastic,cigarette,
1970059,plastic,cigarette,
1970070,Plastic,Cigarette,
1970126,plastic,cigarette,
1970226,plastic,cigarette,
1981991,Plastic,Cigarette,
1982016,plastic,cigarette,
1982019,plastic,cigarette,
1982038,plastic,cigarette,
1982070,plastic,cigarette,
1982110,plastic,cigarette,
1988489,plastic,cigarette,
1988493,plastic,cigarette,
1988548,plastic,cigarette,
1988549,plastic,cigarette,
1988555,plastic,cigarette,
2004390,Plastic,cigarette,
2004413,plastic,cigarette,
2004435,plastic,cigarette,
2021415,plastic,cigarette,
2021419,plastic,cigarette,
2021605,plastic,cigarette,
2021606,plastic,cigarette,
2027083,plastic,cigarette,
2027184,plastic,cigarette,
2004386,tobacco,cigarette,
1913872,Fabric,Cotton,
1970211,paper,cotton bud stick,
1913865,Plastic,cotton bud stick,
1962416,plastic,cotton bud stick,
1982113,paper,cup,
1913807,Plastic,Cup,
1913856,Plastic,Cup,
1929170,Plastic,Cup,
1981950,plastic,cup,
1981966,plastic,cup,
1988556,plastic,cup,
1995056,plastic,cup,
2004480,plastic,cup,
2021549,plastic,cup,
2004377,metal,dime,
2021431,metal,dime,
1962426,plastic,drug bag,
1969996,plastic,duct tape,
2026863,plastic,earbuds,
1958761,plastic,film,
1958813,plastic,film,
1982010,plastic,film,
1998470,plastic,film,
2004429,plastic,film,
1913722,Plastic,Film-like plastic,
1958771,plastic,foam,
1982075,plastic,foam,
1988524,plastic,foam,
2004457,plastic,foam,
2021537,plastic,foam,
2021592,plastic,foam,
2026867,plastic,foam,
2027137,plastic,foam,
1913922,Plastic,Foam Cup,
1970224,plastic,foam packaging,
1988525,plastic,foam packaging,
1913822,Metal,Foil,
1913854,Metal,Foil,
1913888,Metal,Foil,
1943815,metal,foil,
1958818,metal,foil,
1962470,metal,foil,
1962507,metal,foil,
1962580,metal,foil,
1988504,metal,foil,
2004400,metal,foil,
2004401,metal,foil,
2021472,metal,foil,
1913869,Paper,Food Container,
1913925,Paper,Food Container,
1929192,paper,Food Container,
1970203,plastic,food container,
1995048,plastic,food container,
2021502,plastic,food label,
1981994,wood,Food stick,
1981970,metal,food wrapper,
1929151,Paper,Food Wrapper,
1962391,paper,food wrapper,
1988519,paper,food wrapper,
2021430,paper,food wrapper,
2021457,paper,food wrapper,
2021607,paper,food wrapper,
2027178,paper,food wrapper,
1913706,Plastic,Food Wrapper,
1913943,Plastic,Food Wrapper,
1929143,Plastic,Food Wrapper,
1929175,Plastic,Food Wrapper,
1929209,plastic,food wrapper,
1958774,plastic,Food Wrapper,
1970011,plastic,food wrapper,
1988496,plastic,food wrapper,
1995052,plastic,food wrapper,
2004433,plastic,food wrapper,
2021427,plastic,food wrapper,
2021498,plastic,food wrapper,
2021523,plastic,food wrapper,
2021546,wood,foodstick,
2004469,plastic,fork,
1913757,Plastic,Glove,
1958778,food,gum,
1958823,food,gum,
2021575,food,gum,
1913850,Paper,Gum Wrapper,
1913880,Paper,Gum Wrapper,
1943800,paper,Gum Wrapper,
1988542,paper,gum wrapper,
2021448,paper,gum wrapper,
1988511,paper,gumwrapper,
2004415,metal,hairpin,
1958877,plastic,hard,
1982027,plastic,hard,
1982071,plastic,hard,
2021448,paper,ice cream cone wrapper,
1929135,Paper,Informational,
1929197,paper,Informational,
1943776,paper,informational,
1943696,plastic,jewels,
1913730,Plastic,Knife,
1913919,Paper,Label,
1970198,paper,label,
2004381,paper,label,
1913756,Plastic,Lid,
1913758,Plastic,Lid,
1913825,Plastic,Lid,
1913847,Plastic,Lid,
1913859,Plastic,Lid,
1913900,Plastic,Lid,
1913920,Plastic,Lid,
1913935,Plastic,Lid,
1913938,Plastic,Lid,
1929191,plastic,Lid,
1929229,plastic,lid,
1958824,plastic,lid,
1962420,plastic,lid,
1970070,Plastic,lid,
1970113,plastic,lid,
1970176,plastic,lid,
1970234,plastic,lid,
1981941,plastic,lid,
1988503,plastic,lid,
1995046,plastic,lid,
2004458,plastic,lid,
2004480,plastic,lid,
2021425,plastic,lid,
2021445,plastic,lid,
2021468,plastic,lid,
2026866,plastic,lid,
1969978,paper,line paper,
1913716,Paper,Lottery Ticket,
1995054,paper,lottery ticket,
1913721,Plastic,Misc Wrapper,
1913727,Plastic,Misc. Bag,
1913793,Plastic,Misc. Wrapper,
1913797,Plastic,Misc. Wrapper,
1913814,Plastic,Misc. Wrapper,
1913840,Plastic,Misc. Wrapper,
1943706,plastic,Misc. Wrapper,
1943769,plastic,misc. wrapper,
1958797,plastic,misc. wrapper,
1958804,plastic,misc. wrapper,
1958853,plastic,misc. wrapper,
1970161,plastic,misc. wrapper,
1913877,Cloth,Napkin,
1913817,Paper,Napkin,
1913843,Paper,Napkin,
1913849,Paper,Napkin,
1913864,Paper,Napkin,
1913878,Paper,Napkin,
1913892,Paper,Napkin,
1913894,Paper,Napkin,
1913902,Paper,Napkin,
1913904,Paper,Napkin,
1913906,Paper,Napkin,
1913921,Paper,Napkin,
1913923,Paper,Napkin,
1913940,Paper,Napkin,
1929125,Paper,napkin,
1929128,Paper,Napkin,
1929146,Paper,Napkin,
1929195,paper,Napkin,
1929211,paper,napkin,
1943671,paper,napkin,
1943682,paper,napkin,
1943694,Paper,napkin,
1943762,paper,napkin,
1943820,paper,napkin,
1958726,paper,napkin,
1958747,paper,napkin,
1958757,Paper,napkin,
1958759,paper,napkin,
1958783,paper,napkin,
1962392,paper,napkin,
1970016,paper,napkin,
1970052,paper,napkin,
1970142,paper,napkin,
1970235,paper,napkin,
1981974,paper,napkin,
1981977,paper,napkin,
1982058,paper,napkin,
1982080,paper,napkin,
1988527,paper,napkin,
1988533,paper,napkin,
1988553,paper,napkin,
1988565,paper,napkin,
1995071,paper,napkin,
2004379,paper,napkin,
2004387,paper,napkin,
2004400,paper,napkin,
2004451,paper,napkin,
2004454,paper,napkin,
2004463,paper,napkin,
2004466,paper,napkin,
2021408,paper,napkin,
2021414,paper,napkin,
2021423,paper,napkin,
2021425,paper,napkin,
2021496,paper,napkin,
2021510,paper,napkin,
2021545,paper,napkin,
2021577,paper,napkin,
2021590,paper,napkin,
2021596,paper,napkin,
2027160,paper,napkin,
2027165,paper,napkin,
2027199,paper,napkin,
1929182,Plastic,Packaging Peanut,
1988553,plastic,packing peanut,
2027192,paper,paper,
1962387,Metal,paper clip,
2021480,food,peach,
1913809,Plastic,Pen,
1913937,Paper,Plate,
1913796,Plastic,Plate,
1943777,plastic,razor,
1929218,paper,receipt,
1958768,paper,receipt,
1970066,paper,receipt,
1970153,paper,receipt,
1970154,paper,receipt,
1981952,paper,receipt,
1988536,paper,receipt,
1913841,Paper,Reciept,
1913844,Paper,Reciept,
1913893,Paper,Reciept,
1913897,Paper,Reciept,
1958845,paper,reciept,
1995051,paper,reciept,
2004477,paper,reciept,
2021508,paper,reciept,
1913708,Rubber,Rubber Brand,
2021541,rubber,rubberband,
1929206,plastic,Sauce Packet,
1958745,plastic,Sauce Packet,
1995066,plastic,sauce packet,
2021598,plastic,sauce packet,
2021600,plastic,sauce packet,
2026864,metal,screw,
1913724,Glass,Shard,
1913725,Glass,Shard,
1913726,Glass,Shard,
1913729,Glass,Shard,
1913732,Glass,Shard,
1913733,Glass,Shard,
1913735,Glass,Shard,
1913737,Glass,Shard,
1913738,Glass,Shard,
1913752,Glass,Shard,
1913826,Glass,Shard,
1913851,Glass,Shard,
1913885,Glass,Shard,
1929187,glass,Shard,
1929188,glass,Shard,
1929200,glass,Shard,
1929204,glass,shard,
1943746,glass,shard,
1943751,glass,shard,
1943759,glass,shard,
1958748,glass,shard,
1958800,glass,shard,
1958811,glass,shard,
1962399,glass,shard,
1962411,glass,shard,
1982115,glass,shard,
1988499,glass,shard,
1988539,glass,shard,
1995069,glass,shard,
2004446,glass,Shard,
2026868,glass,shard,
1988498,cloth,sock,
1982048,plastic,spoon,
1982111,plastic,spoon,
1929128,Metal,Staple,
2004444,paper,sticker,
1913791,Plastic,Straw,
1913810,Plastic,Straw,
1913825,Plastic,Straw,
1913832,Plastic,Straw,
1913858,Plastic,Straw,
1913861,Plastic,Straw,
1913862,Plastic,Straw,
1913905,Plastic,Straw,
1913914,Plastic,Straw,
1913930,Plastic,Straw,
1913938,Plastic,Straw,
1929139,Plastic,Straw,
1929203,plastic,straw,
1929231,Plastic,Straw,
1943779,Plastic,Straw,
1958815,plastic,straw,
1962407,plastic,straw,
1970070,Plastic,Straw,
1970113,plastic,straw,
1981959,plastic,straw,
1988561,plastic,straw,
2004458,plastic,straw,
2004484,Plastic,straw,
2021445,plastic,straw,
2021449,plastic,straw,
2021528,plastic,straw,
2021547,plastic,straw,
2026862,plastic,straw,
1913746,Paper,straw wrapper,
1913753,Paper,Straw Wrapper,
1913764,Paper,Straw Wrapper,
1913794,Paper,Straw Wrapper,
1913830,Paper,Straw Wrapper,
1929139,Paper,Straw Wrapper,
1929184,paper,straw wrapper,
1929205,paper,straw wrapper,
1929212,paper,straw wrapper,
1929225,Paper,straw wrapper,
1943713,paper,straw wrapper,
1943722,paper,straw wrapper,
1943749,paper,straw wrapper,
1943788,paper,straw wrapper,
1943798,paper,straw wrapper,
1958734,paper,straw wrapper,
1958762,paper,straw wrapper,
1958764,paper,straw wrapper,
1958815,paper,straw wrapper,
1958845,paper,straw wrapper,
1970142,paper,straw wrapper,
1981968,paper,straw wrapper,
1988500,paper,straw wrapper,
1995070,paper,straw wrapper,
2004407,paper,straw wrapper,
2004419,paper,straw wrapper,
2021444,paper,straw wrapper,
2027062,paper,straw wrapper,
1913899,Plastic,Straw Wrapper,
2021422,plastic,straw wrapper,
2021528,plastic,straw wrapper,
1913736,Cloth,String,
1982116,cloth,string,
2026867,cloth,string,
2021523,plastic,string,
1913808,Plastic,Tape,
1958781,plastic,tape,
1970237,plastic,tape,
1981945,plastic,tape,
2004431,Plastic,tape,
1958719,cloth,thread,
1988546,paper,tobacco packaging,
1988552,paper,tobacco wrapper,
1988560,paper,tobacco wrapper,
1995016,paper,tobacco wrapper,
2004439,paper,tobacco wrapper,
1913719,Plastic,Tobacco Wrapper,
1913874,Plastic,Tobacco Wrapper,
1929177,Plastic,Tobacco Wrapper,
1929189,plastic,Tobacco Wrapper,
1943678,plastic,Tobacco Wrapper,
1981943,plastic,Tobacco Wrapper,
1982019,plastic,Tobacco Wrapper,
1988507,plastic,Tobacco Wrapper,
2021449,plastic,tobacco wrapper,
2027167,paper,toilet roll,
2021541,wood,toothpick,
1913816,Cloth,Towel,
1929133,Paper,Towel,
1943663,paper,towel,
1943743,paper,towel,
2027191,paper,towel,
2027192,paper,towel,
2027193,paper,towel,
2026878,plastic,toy,
1943773,plastic,twist tie,
2004424,plastic,utensil,
1970034,metal,washer,
1970136,metal,wire,
1982098,metal,wire,
1958857,plastic,wire,
1929180,Metal,Wrapper,
1929216,metal,wrapper,
1929224,metal,wrapper,
1929226,Metal,Wrapper,
1943676,metal,wrapper,
1958790,metal,wrapper,
2026894,paper,wrapper,
1943723,plastic,wrapper,
1943727,plastic,wrapper,
1981979,plastic,wrapper,
1929228,cardboard,,
1988491,cardboard,,
2004430,cardboard,,
1962413,cigarette,,
2021561,cigarette,,
1929144,Cloth,,
1929179,Cloth,,
1929217,cloth,,
1929222,cloth,,
1943679,cloth,,
1943692,cloth,,
1943719,cloth,,
1943736,cloth,,
1958782,cloth,,
1982037,cloth,,
1982097,cloth,,
1988490,cloth,,
1988509,cloth,,
1988557,cloth,,
1995012,cloth,,
1995014,cloth,,
2004376,cloth,,
2027170,cloth,,
2027185,cloth,,
1913750,Food,,
1943752,food,,
1962461,food,,
1981947,food,,
1982058,food,,
1982117,food,,
2021542,food,,
1929141,Glass,,
1929142,Glass,,
2027182,glass,,
1913710,Metal,,
1913712,Metal,,
1943698,metal,,
1943728,metal,,
1913720,Paper,,
1913739,Paper,,
1913800,Paper,,
1913804,Paper,,
1913806,Paper,,
1913820,Paper,,
1913821,Paper,,
1913845,Paper,,
1913868,Paper,,
1913886,Paper,,
1913931,Paper,,
1913939,Paper,,
1929127,Paper,,
1929130,Paper,,
1929131,Paper,,
1929175,Paper,,
1929219,paper,,
1929220,paper,,
1929227,paper,,
1929232,paper,,
1943652,paper,,
1943672,paper,,
1943679,paper,,
1943690,paper,,
1943716,paper,,
1943729,paper,,
1943737,paper,,
1943750,paper,,
1943768,paper,,
1943814,paper,,
1943834,paper,,
1958742,paper,,
1958753,paper,,
1958755,paper,,
1958770,paper,,
1958776,paper,,
1958777,paper,,
1958779,paper,,
1958795,paper,,
1958798,paper,,
1958801,paper,,
1958802,paper,,
1958849,paper,,
1958855,paper,,
1962393,paper,,
1962396,paper,,
1962398,paper,,
1962400,paper,,
1970042,paper,,
1970063,paper,,
1970156,paper,,
1970158,paper,,
1970220,paper,,
1970222,paper,,
1982006,paper,,
1982046,paper,,
1982064,paper,,
1988492,paper,,
1988564,paper,,
1988580,paper,,
1995013,paper,,
1995015,paper,,
1995044,paper,,
1995045,paper,,
1995065,paper,,
2004417,paper,,
2021409,paper,,
2021418,paper,,
2021429,paper,,
2021435,paper,,
2021438,paper,,
2021450,paper,,
2021451,paper,,
2021452,paper,,
2021462,paper,,
2021513,paper,,
2021517,paper,,
2021544,paper,,
2021557,paper,,
2021587,paper,,
2026940,paper,,
2027186,paper,,
2027187,paper,,
2027203,paper,,
1913701,Plastic,,
1913702,Plastic,,
1913705,Plastic,,
1913707,Plastic,,
1913709,Plastic,,
1913713,Plastic,,
1913714,Plastic,,
1913731,Plastic,,
1913747,Plastic,,
1913755,Plastic,,
1913839,Plastic,,
1913887,Plastic,,
1913903,Plastic,,
1913916,Plastic,,
1913917,Plastic,,
1913942,Plastic,,
1929126,Plastic,,
1929132,Plastic,,
1929148,Plastic,,
1929149,Plastic,,
1929150,Plastic,,
1929176,Plastic,,
1929181,plastic,,
1929190,plastic,,
1929223,plastic,,
1929236,plastic,,
1943648,plastic,,
1943649,plastic,,
1943656,plastic,,
1943657,plastic,,
1943680,plastic,,
1943740,plastic,,
1943783,plastic,,
1943839,plastic,,
1958716,plastic,,
1958728,plastic,,
1958760,plastic,,
1958780,plastic,,
1958806,plastic,,
1958808,plastic,,
1958812,plastic,,
1958816,plastic,,
1958850,plastic,,
1958852,plastic,,
1962395,Plastic,,
1962410,plastic,,
1962418,plastic,,
1962422,plastic,,
1970037,plastic,,
1970152,plastic,,
1981985,plastic,,
1981986,plastic,,
1982118,plastic,,
1988505,plastic,,
1988506,plastic,,
1988537,plastic,,
1988545,plastic,,
1988559,plastic,,
1988567,plastic,,
1988577,plastic,,
1995006,plastic,,
1995007,plastic,,
1995008,plastic,,
1995018,plastic,,
1995020,plastic,,
1995020,plastic,,
1995022,plastic,,
1995023,plastic,,
1995024,plastic,,
1995027,plastic,,
1995029,plastic,,
1995030,plastic,,
