id,Material,Item,Brand,Notes
2116551,paper,receipt,office max,10+ of this item in picture
2095661,plastic,cup,starbucks,2 items mistake
2116553,plastic,cigarette box,camel,duplicate
2095392,plastic,food wrapper,valu time,item still in wrapper
2095594,plastic,container,,item still inside container
2095580,plastic,wrapper,gobonzos,item still inside wrapper
2095382,plastic,food wrapper,tastykake,item still inside wrapper
2095575,plastic,medicine,theraflu,item still inside wrapper
2137339,plastic,wrapper,walmart,item still inside wrapper
2095593,plastic,bag,,item still inside wrapper
2095632,plastic,wrapper,,item still inside wrapper
2137349,plastic,wrapper,jack in the box,"item still inside wrapper, many items"
2116630,paper,coffee cup,circle k,two items mistake
2116721,plastic,wrapper,kool aid,two items mistake
2137327,plastic,straw,mcdonalds,two items mistake
2137329,plastic,water bottle,niagara,two items mistake
2095656,styrofoam,cup,polar pop,two items mistake
2095653,paper,cup,starbucks,two items mistake
2095660,plastic,cup,starbucks,two items mistake
2116847,plastic,lid,wendys,two items mistake
2116639,plastic,container,,two items mistake
2116727,styrofoam,cup,,two items mistake
2116692,plastic,plastic straw,,two items mistake
2095586,plastic,cup,7 eleven,
2095401,plastic,bottle,99 brand,
2116634,paper,cigarette box,American heritage,
2116860,cardboard,juice box,apple & eve,
2116522,paper,flyer,at&t,
2095610,paper,bag,bakers,
2137328,cardboard,container,bakers,
2095649,paper,cup,bakers,
2116648,plastic,food wrapper,barcel,
2095617,plastic,food wrapper,bimbo,
2095574,plastic,wrapper,bimbo,
2095657,glass,bottle,bud light,
2116544,aluminum,can,bud light,
2095651,paper,cup,buffalo wild wings,
2116555,plastic,cigarette box,camel,
2095399,plastic,cigarette butt,camel,
2095404,plastic,wrapper,carme,
2116851,paper,cup,castanedas,
2095583,plastic,candy wrapper,charms,
2116695,plastic,food wrapper,cheetos,
2095655,plastic,container,Chicago cultery,
2095407,paper,cup,coke,
2116540,paper,cup,coke,
2116720,paper,cup,coke,
2116853,paper,cup,coke,
2095637,metal,bottle cap,corona,
2116640,cardboard,box,crayola,
2116841,paper,cup,dairy queen,
2116582,plastic,container,dannon,
2116724,plastic,container,dawn mist,
2116839,plastic,wrapper,dixie,
2116638,paper,lottery ticket,don clemente,
2116507,paper,receipt,dunkin donuts,
2095397,plastic,wrapper,dutch masters,
2095638,plastic,wrapper,dutch masters,
2095411,paper,cup,el pollo loco,
2116644,paper,bag,farmer boys,
2095570,plastic,wrapper,fieldstone bakery,
2116722,plastic,water bottle,first street,
2095571,plastic,wrapper,fresh donuts,
2116723,plastic,food wrapper,frito lay,
2095634,plastic,food wrapper,fritos,
2095607,plastic,wrapper,fritos,
2095394,plastic,container,fruit jelly,
2137326,plastic,food wrapper,fruiti fresca,
2116856,plastic,wrapper,funyuns,
2095585,plastic,bottle cap,gatorade,
2116517,plastic,bag,guaranteed low prices,
2137344,cardboard,juice box,hi-c,
2116620,plastic,wrapper,hollister,
2137338,paper,container,in n out,
2095400,plastic,food container,item still inside wrapper,
2116729,paper,container,jack in the box,
2137322,paper,container,jack in the box,
2137332,plastic,container,jack in the box,
2116538,paper,cup,jack in the box,
2116545,paper,cup,jack in the box,
2116656,paper,cup,jack in the box,
2116700,paper,cup,jack in the box,
2116852,paper,cup,jack in the box,
2095644,plastic,plastic cup,jack in the box,
2116655,plastic,candy wrapper,jolly rancher,
2095639,plastic,food wrapper,jordina,
2116527,plastic,food wrapper,jordina,
2095590,plastic,candy wrapper,juicy drop,
2095584,plastic,wrapper,kool aid,
2137351,plastic,container,lala,
2116528,plastic,food wrapper,lance,
2116848,plastic,plastic bag,lays,
2116691,plastic,candy wrapper,lemon head,
2116857,sugar,candy,licorice,
2137325,plastic,food wrapper,lover hill,
2116693,plastic,candy wrapper,m&ms,
2116699,paper,cigarette box,marlboro,
2095405,plastic,cigarette box,marlboro,
2116649,plastic,cigarette box,marlboro,
2095599,plastic,cigarette butt,marlboro,
2095630,plastic,cigarette butt,marlboro,
2116531,plastic,food wrapper,maruchan,
2116549,plastic,food wrapper,maruchan,
2137341,paper,bag,mcdonalds,
2095596,paper,container,mcdonalds,
2116654,paper,cup,mcdonalds,
2116658,paper,cup,mcdonalds,
