id,Material,Item,Brand,Notes
2194142,Plastic,Cigarette,Marlboro,
2194130,Plastic,Cigarette,Marlboro,
2169328,Plastic,Cigarette,Marlboro,
2168989,Plastic,Cigarette,Marlboro,
2168988,Plastic,Cigarette,Marlboro,
2168987,Plastic,Cigarette,Marlboro,
2168986,Plastic,Cigarette,Marlboro,
2168985,Plastic,Cigarette,Marlboro,
2166317,Plastic,Cigarette,Marlboro,
2166315,Plastic,Cigarette,Marlboro,
2166312,Plastic,Cigarette,Marlboro,
2169335,Metal,Can,Modelo,
2169326,Plastic,Food Wrapper,Starbucks,
2194140,Plastic,Bottle,Stater Bros,
2194136,Plastic,Food Wrapper,Tapatio,
2194133,Paper,Scrap,Wells Fargo,
2166318,Rubber,Ball,,
2194141,Plastic,Bottle Cap,,
2169332,Plastic,Cigarette,,
2169330,Plastic,Cigarette,,
2169327,Plastic,Cigarette,,
2166314,Plastic,Cigarette,,
2169334,Styrofoam,Cup,,
2169338,Paper,Gum Wrapper,,
2169325,Paper,Gum Wrapper,,
2166311,Paper,Gum Wrapper,,
2169333,Plastic,Lid,,
2194132,Glass,Miscellaneous,,
2194139,Paper,Miscellaneous,,
2194137,Plastic,Miscellaneous,,
2194127,Plastic,Miscellaneous,,
2194134,Styrofoam,Packing Peanut,,
2169337,Paper,Scrap,,
2169329,Plastic,Sticker,,
2194138,Plastic,Wrapper,,
2194131,Plastic,Wrapper,,
