id,Material,Item,Brand,Notes
4574853,paper,foodwrapper,nowandlater,
4535680,paper,foodwrapper,nowandlater,
4517673,plastic,foodwrapper,nowandlater,
4620320,paper,gumwrapper,orbit,
4614381,paper,gumwrapper,orbit,
4541953,paper,gumwrapper,orbit,
4614380,paper,label,orbit,
4574864,plastic,foodwrapper,otterpops,
4590149,metal,battery,pairdeer,
4535642,paper,cigarette,pallmall,
4517617,paper,scrap,pandaexpress,
4574797,paper,scrap,paychex,
4535646,plastic,rewardscard,plenti,
4590125,paper,playingcard,pokemon,
4590130,paper,receipt,popeyes,
4620330,cardboard,packaging,popsockets,
4620324,rubber,baseball,probrite,
4584032,paper,flyer,rac,
4574812,paper,napkin,raisingcanes,
4599089,plastic,foodwrapper,reeses,
4599060,plastic,foodwrapper,reeses,
4541985,plastic,foodwrapper,reeses,
4517627,plastic,miscwrapper,renuzit,
4639248,plastic,flosspick,riteaid,
4599064,plastic,flosspick,riteaid,
4599041,plastic,flosspick,riteaid,
4590119,plastic,flosspick,riteaid,
4574823,plastic,flosspick,riteaid,
4584025,paper,scrap,riteaid,
4541959,paper,cigarette,sampoerna,
4517548,plastic,container,silverback,
4632035,plastic,foodwrapper,skittles,
4639255,plastic,foodwrapper,smarties,
4614377,plastic,foodwrapper,smarties,
4590160,plastic,foodwrapper,smarties,
4541966,plastic,foodwrapper,smarties,
4535641,plastic,foodwrapper,smarties,
4541962,plastic,foodwrapper,snickers,
4535734,plastic,foodwrapper,snickers,
4535733,plastic,foodwrapper,snickers,
4535650,plastic,foodwrapper,snickers,
4535647,plastic,foodwrapper,snickers,
4620301,plastic,lid,solo,
4535714,plastic,foodwrapper,sourpatch,
4535667,plastic,foodwrapper,sourpatch,
4535763,plastic,foodwrapper,sourpunch,
4541981,paper,foodwrapper,starburst,
4541960,paper,foodwrapper,starburst,
4535758,paper,foodwrapper,starburst,
4535756,paper,foodwrapper,starburst,
4535720,paper,foodwrapper,starburst,
4535659,paper,foodwrapper,starburst,
4535695,plastic,foodwrapper,starburst,
4535643,plastic,foodwrapper,starburst,
4590167,paper,scrap,starburst,
4639269,paper,receipt,staterbros,
4599053,paper,receipt,staterbros,
4590112,paper,receipt,subway,
4535660,paper,foodwrapper,superbubble,
4535711,plastic,foodwrapper,swedishfish,
4574792,plastic,foodwrapper,sweetarts,
4517635,plastic,bottle,tajin,
4574846,paper,label,tasteefreez,
4535754,paper,label,tasteefreez,
4535739,plastic,foodwrapper,tgifridays,
4535768,paper,foodwrapper,tootsie,
4535741,paper,foodwrapper,tootsie,
4535717,paper,foodwrapper,tootsieroll,
4535675,paper,foodwrapper,tootsieroll,
4535728,plastic,foodwrapper,tootsieroll,
4535690,plastic,foodwrapper,tootsieroll,
4535657,plastic,foodwrapper,tootsieroll,
4541991,plastic,foodwrapper,twix,
4535745,plastic,foodwrapper,twix,
4535743,plastic,foodwrapper,twix,
4535677,plastic,foodwrapper,twix,
4535655,plastic,foodwrapper,twix,
4535649,plastic,foodwrapper,twix,
4541993,plastic,foodwrapper,twizzlers,
4535724,plastic,foodwrapper,twizzlers,
4535723,plastic,foodwrapper,twizzlers,
4535722,plastic,foodwrapper,twizzlers,
4648092,paper,officepapermail,vanguardlegalgrouppc,
4535708,paper,pricetag,walmart,
4632030,paper,receipt,walmart,
4620321,paper,receipt,walmart,
4535753,paper,receipt,walmart,
4535699,paper,receipt,walmart,
4535710,plastic,foodwrapper,warheads,
4535648,plastic,foodwrapper,whoppers,
4620317,paper,gumwrapper,wrigleys,
4584081,plastic,rewardscard,wss,
4632055,expandedpolystyrene,adhesivebacking,,
4632051,expandedpolystyrene,adhesivebacking,,
4632050,expandedpolystyrene,adhesivebacking,,
4632049,expandedpolystyrene,adhesivebacking,,
4632047,expandedpolystyrene,adhesivebacking,,
4632046,expandedpolystyrene,adhesivebacking,,
4632045,expandedpolystyrene,adhesivebacking,,
4632044,expandedpolystyrene,adhesivebacking,,
4632042,expandedpolystyrene,adhesivebacking,,
4584051,plastic,bag,,
4574852,plastic,bag,,
4517637,rubber,balloonscrap,,
4517621,rubber,balloonscrap,,
4632026,fabric,bandaid,,
4574796,metal,bobbypin,,
4517550,metal,bobbypin,,
4648059,metal,bottlecap,,
4590147,metal,bottlecap,,
4584029,metal,bottlecap,,
4574803,metal,bottlecap,,
4517615,metal,bottlecap,,
4517614,metal,bottlecap,,
4517573,metal,bottlecap,,
4517567,metal,bottlecap,,
4517559,metal,bottlecap,,
4639242,plastic,bottlecap,,
4614379,plastic,bottlecap,,
4614355,plastic,bottlecap,,
4614343,plastic,bottlecap,,
4590162,plastic,bottlecap,,
4590161,plastic,bottlecap,,
4590158,plastic,bottlecap,,
4590129,plastic,bottlecap,,
4590128,plastic,bottlecap,,
4574863,plastic,bottlecap,,
4535751,plastic,bottlecap,,
4517666,plastic,bottlecap,,
4517654,plastic,bottlecap,,
4517652,plastic,bottlecap,,
4517612,plastic,bottlecap,,
4517599,plastic,bottlecap,,
4517640,plastic,bottlering,,
4517646,rubber,bracelet,,
4535740,food,candy,,
4535696,food,candy,,
4535673,paper,candybox,,
4639240,metal,canpulltabs,,
4584044,metal,canpulltabs,,
4517650,metal,canpulltabs,,
4517564,metal,canpulltabs,,
4648064,paper,cigarette,,
4648027,paper,cigarette,,
4632040,paper,cigarette,,
4632038,paper,cigarette,,
4620333,paper,cigarette,,
4620332,paper,cigarette,,
4620331,paper,cigarette,,
4620305,paper,cigarette,,
4599050,paper,cigarette,,
4599045,paper,cigarette,,
4590166,paper,cigarette,,
4590110,paper,cigarette,,
4584052,paper,cigarette,,
4574830,paper,cigarette,,
4574829,paper,cigarette,,
4574827,paper,cigarette,,
4574775,paper,cigarette,,
4541992,paper,cigarette,,
4541971,paper,cigarette,,
4541967,paper,cigarette,,
4535742,paper,cigarette,,
4535703,paper,cigarette,,
4535700,paper,cigarette,,
4535688,paper,cigarette,,
4517610,paper,cigarette,,
4517570,paper,cigarette,,
4639260,fabric,clothing,,
4599097,metal,coin,,
4517609,paper,confetti,,
4648046,fabric,cotton,,
4535765,fabric,cotton,,
4632036,paper,cottonbudstick,,
4632034,paper,cottonbudstick,,
4599055,paper,cottonbudstick,,
4541984,paper,cottonbudstick,,
4517596,plastic,cottonbudstick,,
4590123,paper,cottonbudsticks,,
4620302,fiber,cottonpad,,
4584047,wax,crayon,,
4620310,expandedpolystyrene,cup,,
4620309,expandedpolystyrene,cup,,
4535737,expandedpolystyrene,cup,,
4535666,expandedpolystyrene,cup,,
4517591,expandedpolystyrene,cup,,
4574795,plastic,cup,,
4584017,fabric,decoration,,
4590114,rubber,earbud,,
4584024,plastic,earplugs,,
4599095,metal,earring,,
4590132,plastic,flosspick,,
4517586,plastic,flosspick,,
4535744,expandedpolystyrene,foamsponge,,
4535726,expandedpolystyrene,foamsponge,,
4648071,metal,foil,,
4614346,metal,foil,,
4614354,plastic,foodcontainer,,
4599065,paper,foodwrapper,,
4590136,paper,foodwrapper,,
4584055,paper,foodwrapper,,
4535718,paper,foodwrapper,,
4535665,paper,foodwrapper,,
4535656,paper,foodwrapper,,
4574868,plastic,foodwrapper,,
4535694,plastic,foodwrapper,,
4535645,plastic,foodwrapper,,
4584035,plastic,fork,,
4517639,plastic,fork,,
4648081,expandedpolystyrene,fragment,,
4632056,expandedpolystyrene,fragment,,
4632017,expandedpolystyrene,fragment,,
4599069,expandedpolystyrene,fragment,,
4574838,glass,fragment,,
4599091,metal,fragment,,
4599043,metal,fragment,,
4584075,metal,fragment,,
4584027,metal,fragment,,
4584023,metal,fragment,,
4535671,metal,fragment,,
4517611,metal,fragment,,
4517608,metal,fragment,,
4517606,metal,fragment,,
4648091,plastic,fragment,,
4648090,plastic,fragment,,
4648080,plastic,fragment,,
4648073,plastic,fragment,,
4648068,plastic,fragment,,
4648063,plastic,fragment,,
4639275,plastic,fragment,,
4639258,plastic,fragment,,
4639257,plastic,fragment,,
4639237,plastic,fragment,,
4620315,plastic,fragment,,
4614386,plastic,fragment,,
4614356,plastic,fragment,,
4599076,plastic,fragment,,
4599062,plastic,fragment,,
4590163,plastic,fragment,,
4590148,plastic,fragment,,
4590120,plastic,fragment,,
4584060,plastic,fragment,,
4584050,plastic,fragment,,
4584046,plastic,fragment,,
4584038,plastic,fragment,,
4584036,plastic,fragment,,
4584033,plastic,fragment,,
4584020,plastic,fragment,,
4574848,plastic,fragment,,
4574805,plastic,fragment,,
4541990,plastic,fragment,,
4541983,plastic,fragment,,
4541982,plastic,fragment,,
4535644,plastic,fragment,,
4639245,rubber,fragment,,
4614385,rubber,fragment,,
4614351,rubber,fragment,,
4599090,rubber,fragment,,
4541972,rubber,fragment,,
4599077,plastic,fragments,,
4584079,plastic,fragments,,
4535727,plastic,fragments,,
4535674,plastic,fragments,,
4648054,food,fruit,,
4614364,food,fruit,,
4614360,food,fruit,,
4541970,food,fruitpeel,,
4535707,food,fruitpeel,,
4614378,rubber,glove,,
