id,Material,Item,Brand
4606394,paper ,cigarette ,
4606392,paper ,cigarette ,
4606387,paper ,cigarette ,
4598977,paper ,cigarette ,
4598955,paper ,cigarette ,
4598939,paper ,cigarette ,
4590203,paper ,cigarette ,
4584705,paper ,cigarette ,
4584689,paper ,cigarette ,
4584688,paper ,cigarette ,
4578530,paper ,cigarette ,
4578386,paper ,cigarette ,
4578367,paper ,cigarette ,
4538354,paper ,cigarette ,
4579076,paper ,container ,
4579081,plastic ,container ,
4578531,plastic ,cosmetic container ,
4606401,plastic ,cup,
4578502,plastic ,cup,
4578501,plastic ,cup,
4578498,plastic ,cup,
4578494,plastic ,cup,
4598987,plastic ,cup ,
4578521,plastic ,cup ,
4578489,plastic ,cup ,
4578485,plastic ,cup ,
4538353,plastic ,cup ,
4538122,plastic ,cup ,
4578514,cloth ,dryer sheets ,
4578364,cloth ,drying sheet ,
4578362,plastic ,floss ,
4578381,expanded polystyrene ,foam,
4598960,aluminum ,foam ,
4598961,expanded polystyrene,foam ,
4538285,aluminum,foil,
4606384,aluminum ,foil ,
4578515,aluminum ,foil ,
4538172,paper ,food container ,
4584719,plastic ,food wrapper ,
4584717,plastic ,food wrapper ,
4578513,plastic ,food wrapper ,
4578492,plastic ,food wrapper ,
4578375,plastic ,food wrapper ,
4578356,plastic ,food wrapper ,
4577930,plastic ,food wrapper ,
4579078,rubber ,gloves ,
4578361,rubber ,gloves ,
4578352,paper ,gum wrapper,
4598968,paper ,gum wrapper ,
4598951,paper ,gum wrapper ,
4538396,paper ,gum wrapper ,
4578535,rubber ,hair tie ,
4578533,rubber ,hair tie ,
4584702,plastic ,hanger ,
4538069,plastic ,headband ,
4538169,paper ,label,
4578379,plastic ,"lid, straw",
4578384,plastic,lid ,
4606409,plastic ,lid ,
4606399,plastic ,lid ,
4598969,plastic ,lid ,
4598959,plastic ,lid ,
4590184,plastic ,lid ,
4584720,plastic ,lid ,
4578368,plastic ,lid ,
4578507,paper ,lottery ,
4598936,paper ,misc,
4590193,paper ,misc,
4590178,paper ,misc,
4578522,paper ,misc,
4578357,paper ,misc,
4590200,plastic,misc,
4606407,plastic ,misc,
4598934,plastic ,misc,
4578484,plastic ,misc,
4538188,plastic ,misc,
4538124,plastic ,misc,
4578370,rubber ,misc,
4590195,paper ,misc wrapper,
4538303,plastic ,misc wrapper,
4584700,paper ,misc wrapper ,
4578529,paper ,misc wrapper ,
4578528,paper ,misc wrapper ,
4578524,paper ,misc wrapper ,
4598941,plastic ,misc wrapper ,
4584716,plastic ,misc wrapper ,
4584696,plastic ,misc wrapper ,
