id,Material,Item,Brand,Notes
2157059,Plastic,Wrapper,KitKat,
2157145,Plastic,Cup,Slickables,
2157103,"Paper, Cellulose acetate",Cigarette,,
2157153,"Paper, Cellulose acetate",Cigarette,,
2157155,"Paper, Cellulose acetate",Cigarette,,
2157142,Plastic,Cup,,
2157058,Plastic,Lid,,
2157110,Styrofoam,Packing material,,
2157118,Metal,Part,,
2157156,Plastic,Pen,,
2157143,Paper,Sheet,,
2157117,Plastic,Straw,,
2157148,Plastic,"Straw, Lid",,
2157064,Paper,Tissue,,
2157109,Plastic,Wrapper,,
2157137,Plastic,Wrapper,,
2157138,Plastic,Wrapper,,
2157150,Plastic,Wrapper,,
2157111,Foam,,,
2157112,Foam,,,
2157113,Foam,,,
2157120,Foam,,,
2157121,Foam,,,
2157124,Foam,,,
2157126,Foam,,,
2157127,Foam,,,
2157128,Foam,,,
2157130,Foam,,,
2157131,Foam,,,
2157133,Foam,,,
2157134,Foam,,,
2157136,Foam,,,
2157141,Plastic,,,
2157146,Plastic,,,
2157147,Plastic,,,
2157149,Plastic,,,
