from,to
car OR boat parts,boat parts
bag (grocery),shopping bags incl. pieces
"bag (zip-lock, produce, other)","small plastic bags, e.g., freezer bags"
take-out food bags,single use plastic carryout bags
"clothing, hats, gloves & towels",clothing OR towel OR gloves
"clothing, hats, gloves & towels",hard hats
clothing OR shoes OR beach towels,clothing & shoes
clothing OR shoes OR beach towels,cloth fragments
small electronic items,e-waste fragments
small electronic items,telephone(incl.parts)
beverage conatiners,bottles & jars
beverage conatiners,cans OR tins
beverage conatiners,cups
"bottle caps, lids & pull tabs",pull tabs: beverages
"bottle caps, lids & pull tabs",bottle caps
"bottle caps, lids & pull tabs",caps OR lids
cardboard cartons,juice carton
cardboard cartons,milk carton
cups & plates,plates
food wrappers or containers,"ice-cream sticks, chip forks, chopsticks, toothpicks"
food wrappers or containers,other food cans OR wrappers
food wrappers or containers,wrappers
food wrappers or containers,crisp OR sweet OR lolly OR sandwich wrappers
food wrappers or containers,cover OR packaging
food OR beverage ware,disposable food & beverage ware
straws,degraded straws
4 OR 6 pack yokes,"six-pack rings, ring carriers"
"cups, plastes, forks, knives, spoons","cups, plates, utensils"
cutlery OR trays OR straws OR cups,cutlery OR trays OR straws
tableware,napkins
thin film,filmfragments
thin film,tape
thin film,films <5mm
bait containers OR crates OR lures,bait containers OR crates
fishing line,fishing line (entangled)
fishing line,fishing line (anglers)
fishing line OR net,filament <5mm
fishing line OR net,monofilament net OR fiber up to 5mm
fishing line OR net,monofilament net OR fiber 5-30mm
fishing line OR net,monofilament net OR fiber larger than 30mm
fishing line OR net,nets and pieces of net
fishing lures & line,fishing lures or light sticks
fishing rubbertail baits & weights,fishing weights
fishing traps and pots,fish pot
fishing traps and pots,fishpot(eel)
fishing traps and pots,octopus pots
fishing traps and pots,trap OR pot pieces
fishing traps and pots,crab or lobster or fish traps
fishing traps and pots,derelicttraps OR trappieces
fishing traps and pots,lobster OR crab pots & tops
floats (fishing buoys) OR reels,"fishing bouys, pots & traps"
scuba&snorkelgear,fin trees (from fins for scuba diving)
"advertisements, signs",forsale posters
"advertisements, signs",election posters
"appliances, bikes, carts",appliances
carpet & furnishing,carpet (synthetic)
carpet & furnishing,floor cover
carpet & furnishing,furniture
"constructionmaterial(brick,cement,pipes)","bar, pipe, or wire"
"constructionmaterial(brick,cement,pipes)","bricks, cinderblocks, chunks of cement"
signs OR cones,traffic cones
wood boards,pallets
drums,drums: 55 gallon
drums,oil drums
non-beverage containers OR bottles,"beachuserelatedcosmeticbottlesand.containers,e.g.sunblock"
non-beverage containers OR bottles,"bottles: bleach, cleaner"
non-beverage containers OR bottles,bottles: oil OR lube
non-beverage containers OR bottles,buckets
non-beverage containers OR bottles,containers OR tubes
non-beverage containers OR bottles,"cosmetics(bottles&containerse.g.sunlotion,shampoo,showergel,deodorant)"
non-beverage containers OR bottles,crates and containers OR baskets
non-beverage containers OR bottles,jerry cans (square plastic containers with handle)
non-beverage containers OR bottles,middle size containers
non-beverage containers OR bottles,oil or petrol can
non-beverage containers OR bottles,other cans (<4l)
non-beverage containers OR bottles,other jugs or containers
food,drinks
oil OR tar,oil
shipping OR packaging,insulation & packaging
"newspaper, books",books
newspapers & magazines,magazines
parking tickets & reciepts,reciepts
combs OR hairbrushes OR sunglasses,combs OR hairbrushes
combs OR hairbrushes OR sunglasses,sunglasses
medical OR pharmaceuticals containers OR tubes,"other medical items (swabs, bandaging etc.)"
sanitary product,condoms
sanitary product,injection gun containers
sanitary product,wet wipes
sanitary product,diapers OR nappies
sanitary product,tooth pick
sanitary product,toilet paper
sanitary product,toothbrushes
sanitary product,dental flossers
sanitary product,towels OR panty liners OR backing strips
sanitary product,sanitary towel OR tampon
syringes,drug paraphanalia OR syringes
toiletries,deoderant
toiletries,face mask
rope,rope <1 meter
rope,rope >1 meter
rope,rope diameter <1 cm
rope,rope diameter >1 cm
rope,rope large
rope,rope medium
rope,rope small
ropes OR strapping bands,strapping bands
"sheeting: tarpaulin, plastic sheets, palette wrap",agricultural tarpaulin and packaging
rope & string,string
cigarette materials,cigarette butts and filters
cigarette materials,cigarette lighters OR tobacco pouches
"balloon, tennis ball, football, dog toy",balloons and balloon sticks
