Litter,input_valid_3,input_valid_2,input_valid,tag_merge,Challenges,Tags,Location (Lat / Long),Name,Username,Date,Country Code,Image URL
2058626,,,,,Our Clean Community,"handlebar grip, rubber",33.97600536/-117.33102337,LokTrevor,loktrevor,2018-10-18T06:37:21Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/18/ce7d0006-bb99-3416-bb3b-dcd2081275c8-100911/180x180.jpg
2058623,,,,,Our Clean Community,"plastic, foodwrapper",33.976125810327/-117.331068981548,Hannah Hapich,hannah-hapich,2018-10-18T06:36:58Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/18/669e279d-d12d-30d9-b552-6b6e33c0649b-99977/180x180.jpg
2058619,,,,,Our Clean Community,"metal, tire valve",33.97598564/-117.33095722,Win Cowger,litterati-92684,2018-10-18T06:31:35Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/18/4840b505-3fe9-33b2-9f69-c4b5204c56bd-92684/180x180.jpg
2050957,,,,,Our Clean Community,"paper, newspaper, thehighlander",33.97599069/-117.33096309,Win Cowger,litterati-92684,2018-10-16T06:31:43Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/16/72e21c92-1b6d-3684-a8c2-affc22c1180f-92684/180x180.jpg
2021412,,,,,Our Clean Community,,34.0039671/-117.35427109,Win Cowger,litterati-92684,2018-11-10T01:52:10Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/11/e23380de-243a-3817-9414-c2214155f32b-92684/180x180.jpg
1982112,,,,,Our Clean Community,,34.00409069/-117.35439806,Win Cowger,litterati-92684,2018-01-10T02:40:58Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/b9072db8-9edb-37b4-9c57-ecea98486e24-92684/180x180.jpg
1982017,,,,,Our Clean Community,,34.00374887/-117.35541753,Win Cowger,litterati-92684,2018-01-10T02:11:55Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/b4e69a9d-e6a2-306c-8f87-b5e0f834b687-92684/180x180.jpg
1970022,,,,,Our Clean Community,cups,34.00393883/-117.35475785,Win Cowger,litterati-92684,2018-09-28T01:57:04Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/28/9d8d996a-21be-39a7-8aa8-779d9bcf233e-92684/180x180.jpg
1958821,,,,,Our Clean Community,,34.00395021/-117.35494615,Win Cowger,litterati-92684,2018-09-25T02:37:54Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/25/1e1c132e-d78f-3d85-80df-193d9b0ce6c3-92684/180x180.jpg
1958819,,,,,Our Clean Community,,34.00394685/-117.3549418,Win Cowger,litterati-92684,2018-09-25T02:37:35Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/25/fb19d4ba-d2e1-38a5-9a55-c9724cfd2d1b-92684/180x180.jpg
