Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,id,url,lon,lat,photo_url,thumbnail_url,photo_timestamp,Material,Item,Brand,Notes
"paper,cardboard,nonfood wrapper",id: 2158571<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/44152c40-e65f-11e8-8259-afde9c005da3-100639/180x180.jpg<br>lon: -117.2845503<br>lat: 33.93906711<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/44152c40-e65f-11e8-8259-afde9c005da3-100639.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/44152c40-e65f-11e8-8259-afde9c005da3-100639/180x180.jpg<br>photo_timestamp: 2018-11-07 23:58:59+00<br>Material: <br>Item: <br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2158571.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/44152c40-e65f-11e8-8259-afde9c005da3-100639/180x180.jpg,-117.2845503,33.93906711,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/44152c40-e65f-11e8-8259-afde9c005da3-100639.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/44152c40-e65f-11e8-8259-afde9c005da3-100639/180x180.jpg,2018-11-07 23:58:59+00,,,,
"plastic,candy wrapper,Snickers",id: 2158572<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/467f4e70-e65f-11e8-8259-afde9c005da3-100639/180x180.jpg<br>lon: -117.2845499<br>lat: 33.93905902<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/467f4e70-e65f-11e8-8259-afde9c005da3-100639.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/467f4e70-e65f-11e8-8259-afde9c005da3-100639/180x180.jpg<br>photo_timestamp: 2018-11-07 23:59:22+00<br>Material: <br>Item: <br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2158572.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/467f4e70-e65f-11e8-8259-afde9c005da3-100639/180x180.jpg,-117.2845499,33.93905902,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/467f4e70-e65f-11e8-8259-afde9c005da3-100639.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/467f4e70-e65f-11e8-8259-afde9c005da3-100639/180x180.jpg,2018-11-07 23:59:22+00,,,,
"plastic,bb pellet",id: 2147862<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/c8fed810-e39f-11e8-8321-6fbfbdc03212-101158/180x180.jpg<br>lon: -117.3327429<br>lat: 33.98105017<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/c8fed810-e39f-11e8-8321-6fbfbdc03212-101158.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/c8fed810-e39f-11e8-8321-6fbfbdc03212-101158/180x180.jpg<br>photo_timestamp: 2018-11-08 21:46:43+00<br>Material: <br>Item: <br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2147862.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/c8fed810-e39f-11e8-8321-6fbfbdc03212-101158/180x180.jpg,-117.3327429,33.98105017,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/c8fed810-e39f-11e8-8321-6fbfbdc03212-101158.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/c8fed810-e39f-11e8-8321-6fbfbdc03212-101158/180x180.jpg,2018-11-08 21:46:43+00,,,,
"plastic,Empire",id: 2147863<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/f5080990-e39f-11e8-8321-6fbfbdc03212-101158/180x180.jpg<br>lon: -117.3327619<br>lat: 33.98103423<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/f5080990-e39f-11e8-8321-6fbfbdc03212-101158.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/f5080990-e39f-11e8-8321-6fbfbdc03212-101158/180x180.jpg<br>photo_timestamp: 2018-11-08 21:47:50+00<br>Material: <br>Item: <br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2147863.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/f5080990-e39f-11e8-8321-6fbfbdc03212-101158/180x180.jpg,-117.3327619,33.98103423,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/f5080990-e39f-11e8-8321-6fbfbdc03212-101158.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/f5080990-e39f-11e8-8321-6fbfbdc03212-101158/180x180.jpg,2018-11-08 21:47:50+00,,,,
"cigarette,paper",id: 2147864<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/1a97f940-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg<br>lon: -117.3327471<br>lat: 33.98100839<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/1a97f940-e3a0-11e8-8321-6fbfbdc03212-101158.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/1a97f940-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg<br>photo_timestamp: 2018-11-08 21:48:59+00<br>Material: <br>Item: <br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2147864.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/1a97f940-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg,-117.3327471,33.98100839,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/1a97f940-e3a0-11e8-8321-6fbfbdc03212-101158.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/1a97f940-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg,2018-11-08 21:48:59+00,,,,
"cigarette,paper,pallmall",id: 2147865<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/2ec958a0-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg<br>lon: -117.3327241<br>lat: 33.98100938<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/2ec958a0-e3a0-11e8-8321-6fbfbdc03212-101158.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/2ec958a0-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg<br>photo_timestamp: 2018-11-08 21:49:33+00<br>Material: <br>Item: <br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2147865.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/2ec958a0-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg,-117.3327241,33.98100938,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/2ec958a0-e3a0-11e8-8321-6fbfbdc03212-101158.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/2ec958a0-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg,2018-11-08 21:49:33+00,,,,
"plastic,AirHead,food wrapper",id: 2147866<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/51bfffd0-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg<br>lon: -117.3327388<br>lat: 33.98102073<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/51bfffd0-e3a0-11e8-8321-6fbfbdc03212-101158.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/51bfffd0-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg<br>photo_timestamp: 2018-11-08 21:50:32+00<br>Material: <br>Item: <br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2147866.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/51bfffd0-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg,-117.3327388,33.98102073,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/51bfffd0-e3a0-11e8-8321-6fbfbdc03212-101158.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/51bfffd0-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg,2018-11-08 21:50:32+00,,,,
"paper,nonfood wrapper",id: 2147870<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/7c0dc5b0-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg<br>lon: -117.3327377<br>lat: 33.98103326<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/7c0dc5b0-e3a0-11e8-8321-6fbfbdc03212-101158.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/7c0dc5b0-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg<br>photo_timestamp: 2018-11-08 21:51:43+00<br>Material: <br>Item: <br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2147870.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/7c0dc5b0-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg,-117.3327377,33.98103326,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/7c0dc5b0-e3a0-11e8-8321-6fbfbdc03212-101158.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/7c0dc5b0-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg,2018-11-08 21:51:43+00,,,,
"glass,metal spring",id: 2147871<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/9c19a900-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg<br>lon: -117.3327369<br>lat: 33.98102325<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/9c19a900-e3a0-11e8-8321-6fbfbdc03212-101158.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/9c19a900-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg<br>photo_timestamp: 2018-11-08 21:52:37+00<br>Material: <br>Item: <br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2147871.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/9c19a900-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg,-117.3327369,33.98102325,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/9c19a900-e3a0-11e8-8321-6fbfbdc03212-101158.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/9c19a900-e3a0-11e8-8321-6fbfbdc03212-101158/180x180.jpg,2018-11-08 21:52:37+00,,,,
cigarette,id: 2147946<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/625dfb10-e3a7-11e8-8321-6fbfbdc03212-100878/180x180.jpg<br>lon: -117.2786881<br>lat: 33.93735502<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/625dfb10-e3a7-11e8-8321-6fbfbdc03212-100878.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/625dfb10-e3a7-11e8-8321-6fbfbdc03212-100878/180x180.jpg<br>photo_timestamp: 2018-11-08 22:41:07.046+00<br>Material: <br>Item: <br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2147946.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/625dfb10-e3a7-11e8-8321-6fbfbdc03212-100878/180x180.jpg,-117.2786881,33.93735502,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/625dfb10-e3a7-11e8-8321-6fbfbdc03212-100878.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/625dfb10-e3a7-11e8-8321-6fbfbdc03212-100878/180x180.jpg,2018-11-08 22:41:07.046+00,,,,
"metal,can",id: 2147967<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/92453f30-e3a9-11e8-8321-6fbfbdc03212-100878/180x180.jpg<br>lon: -117.2789767<br>lat: 33.93732829<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/92453f30-e3a9-11e8-8321-6fbfbdc03212-100878.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/92453f30-e3a9-11e8-8321-6fbfbdc03212-100878/180x180.jpg<br>photo_timestamp: 2018-11-08 22:43:05.594+00<br>Material: <br>Item: <br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2147967.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/92453f30-e3a9-11e8-8321-6fbfbdc03212-100878/180x180.jpg,-117.2789767,33.93732829,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/92453f30-e3a9-11e8-8321-6fbfbdc03212-100878.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/92453f30-e3a9-11e8-8321-6fbfbdc03212-100878/180x180.jpg,2018-11-08 22:43:05.594+00,,,,
"can,top,aluminium",id: 2147968<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/94d6bf80-e3a9-11e8-8321-6fbfbdc03212-100878/180x180.jpg<br>lon: -117.2789977<br>lat: 33.93734886<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/94d6bf80-e3a9-11e8-8321-6fbfbdc03212-100878.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/94d6bf80-e3a9-11e8-8321-6fbfbdc03212-100878/180x180.jpg<br>photo_timestamp: 2018-11-08 22:43:31.801+00<br>Material: <br>Item: <br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2147968.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/94d6bf80-e3a9-11e8-8321-6fbfbdc03212-100878/180x180.jpg,-117.2789977,33.93734886,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/94d6bf80-e3a9-11e8-8321-6fbfbdc03212-100878.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/94d6bf80-e3a9-11e8-8321-6fbfbdc03212-100878/180x180.jpg,2018-11-08 22:43:31.801+00,,,,
"plastic,bottlecap",id: 2147969<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/99264380-e3a9-11e8-8321-6fbfbdc03212-100878/180x180.jpg<br>lon: -117.2790682<br>lat: 33.9332898<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/99264380-e3a9-11e8-8321-6fbfbdc03212-100878.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/99264380-e3a9-11e8-8321-6fbfbdc03212-100878/180x180.jpg<br>photo_timestamp: 2018-11-08 22:56:56.679+00<br>Material: <br>Item: <br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2147969.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/99264380-e3a9-11e8-8321-6fbfbdc03212-100878/180x180.jpg,-117.2790682,33.9332898,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/08/99264380-e3a9-11e8-8321-6fbfbdc03212-100878.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/08/99264380-e3a9-11e8-8321-6fbfbdc03212-100878/180x180.jpg,2018-11-08 22:56:56.679+00,,,,
