Tags,Location (Lat / Long),Lon,Lat,Name,Username,Date,Day,Image URL,id,Material,Material_TT,Item,Item_TT,Brand,Brand_TT,ID,Manufacturer,Site Area_m2,Site_Length_m,Road_Width_m,Landuse_Type,Number_Road_Lanes,Both_Sides,Tract,Mean Income_households_2019_5year_census,Median Income_households,Cal_Enviro_Screen,Street Sweeping Schedule,Area_m2,TractID
cigarette,34.00387882/-117.35504918,-117.3550492,34.00387882,Site 7A,litterati-92684,16/09/2018 01:45:30 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/16d20dbc-5f3f-3b99-943c-b2cf31ae72bc-92684/180x180.jpg,1913871,Plastic,plastic,Cigarette,cigarettes/cigartips,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
cotton ball,34.003922/-117.35506186,-117.3550619,34.003922,Site 7A,litterati-92684,16/09/2018 01:46:02 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/a71b47b9-236c-3f2d-aa34-03f3a23b683a-92684/180x180.jpg,1913872,Fabric,cloth,Cotton,clothfragments,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
tobacco package,34.00397255/-117.35501866,-117.3550187,34.00397255,Site 7A,litterati-92684,16/09/2018 01:46:39 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/a208243e-44c4-3021-b5e1-fed539e8d861-92684/180x180.jpg,1913874,Plastic,plastic,Tobacco Wrapper,tobaccopackaging&wrappers,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"bakers, plastic",34.00397321/-117.35501963,-117.3550196,34.00397321,Site 7A,litterati-92684,16/09/2018 01:47:10 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/b8190ada-8eb3-3ba2-937c-84ab0d17b3b1-92684/180x180.jpg,1913875,Plastic,plastic,Sauce Packet,saucepacket,Bakers,bakers,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"del taco, plastic",34.00397306/-117.35501964,-117.3550196,34.00397306,Site 7A,litterati-92684,16/09/2018 01:47:32 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/d4205d78-8fa8-34b8-ab6c-9fcbac8bb412-92684/180x180.jpg,1913876,Plastic,plastic,Sauce Packet,saucepacket,Del Taco,del taco,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
cloth,34.00397307/-117.35501981,-117.3550198,34.00397307,Site 7A,litterati-92684,16/09/2018 01:47:49 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/13f1d1d8-2ebf-36dd-9664-3cce37a3a210-92684/180x180.jpg,1913877,Cloth,cloth,Napkin,napkins,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"paper, napkin",34.00396622/-117.3550301,-117.3550301,34.00396622,Site 7A,litterati-92684,16/09/2018 01:48:13 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/876c276a-c250-32d7-a046-fb2c7094f4bb-92684/180x180.jpg,1913878,Paper,paper,Napkin,napkins,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
gumwrapper,34.00399823/-117.35499646,-117.3549965,34.00399823,Site 7A,litterati-92684,16/09/2018 01:48:58 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/07c7efa5-b01d-3529-b0af-798cbe8b6f43-92684/180x180.jpg,1913880,Paper,paper,Gum Wrapper,foodwrappersorcontainers,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
glass,34.00399659/-117.35499365,-117.3549937,34.00399659,Site 7A,litterati-92684,16/09/2018 01:49:38 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/dfd9ea32-7ed6-33e7-ab0c-b882588562bb-92684/180x180.jpg,1913885,Glass,glass,Shard,fragments,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
paper,34.00400012/-117.3549815,-117.3549815,34.00400012,Site 7A,litterati-92684,16/09/2018 01:50:08 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/d3f09adb-4fd3-3f9b-b0d3-ae6182d6d9c0-92684/180x180.jpg,1913886,Paper,paper,,other,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
plastic,34.00399277/-117.35497784,-117.3549778,34.00399277,Site 7A,litterati-92684,16/09/2018 01:50:20 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/9680a175-5894-3074-840b-34d20042b96e-92684/180x180.jpg,1913887,Plastic,plastic,,other,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
metal,34.00400485/-117.35494187,-117.3549419,34.00400485,Site 7A,litterati-92684,16/09/2018 01:50:35 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/38d809d1-9952-3424-8de0-2571f738c085-92684/180x180.jpg,1913888,Metal,metal,Foil,foil,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"mcdonalds, cup, plasticlid, plasticstraw",34.00401346/-117.3549392,-117.3549392,34.00401346,Site 7A,litterati-92684,16/09/2018 01:50:58 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/580bca4e-c206-3f29-b15c-4fb897defc4b-92684/180x180.jpg,1913889,Paper,paper,Cup,cups,McDonalds,McDonalds,922,McDonalds,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"mcdonalds, cup, plasticlid, plasticstraw",34.00401346/-117.3549392,-117.3549392,34.00401346,Site 7A,litterati-92684,16/09/2018 01:50:58 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/580bca4e-c206-3f29-b15c-4fb897defc4b-92684/180x180.jpg,1913889,Plastic,plastic,Lid,lids,McDonalds,McDonalds,922,McDonalds,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"mcdonalds, cup, plasticlid, plasticstraw",34.00401346/-117.3549392,-117.3549392,34.00401346,Site 7A,litterati-92684,16/09/2018 01:50:58 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/580bca4e-c206-3f29-b15c-4fb897defc4b-92684/180x180.jpg,1913889,Plastic,plastic,Straw,straws,McDonalds,McDonalds,922,McDonalds,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"napkin, paper",34.00402173/-117.35493648,-117.3549365,34.00402173,Site 7A,litterati-92684,16/09/2018 01:51:48 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/57fa1277-2296-30c4-ad16-9708c3eed5ee-92684/180x180.jpg,1913892,Paper,paper,Napkin,napkins,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
receipt,34.00402359/-117.35493072,-117.3549307,34.00402359,Site 7A,litterati-92684,16/09/2018 01:52:15 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/0f848b3c-e70c-31a0-82e6-9d33f8aa39db-92684/180x180.jpg,1913893,Paper,paper,Reciept,reciepts,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
