Tags,Location (Lat / Long),Lon,Lat,Name,Username,Date,Day,Image URL,id,Material,Material_TT,Item,Item_TT,Brand,Brand_TT,ID,Manufacturer,Site Area_m2,Site_Length_m,Road_Width_m,Landuse_Type,Number_Road_Lanes,Both_Sides,Tract,Mean Income_households_2019_5year_census,Median Income_households,Cal_Enviro_Screen,Street Sweeping Schedule,Area_m2,TractID
"plastic, lid",34.00402924/-117.35419714,-117.3541971,34.00402924,Site 7A,litterati-92684,01/10/2018 01:48:30 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/487ef4e0-2658-32a8-b640-e4c35c5a4977-92684/180x180.jpg,1981941,plastic,plastic,lid,lids,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, cigar wrapper",34.00389773/-117.35434865,-117.3543487,34.00389773,Site 7A,litterati-92684,01/10/2018 01:49:45 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/bd664c80-7ec3-3f06-81e6-ecfa0501f576-92684/180x180.jpg,1981943,plastic,plastic,Tobacco Wrapper,tobaccopackaging&wrappers,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, ducttape",34.00400734/-117.3544616,-117.3544616,34.00400734,Site 7A,litterati-92684,01/10/2018 01:50:45 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/08402b28-3eb0-322e-b074-1564d335623f-92684/180x180.jpg,1981945,plastic,plastic,tape,tape,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
food,34.00404605/-117.35449219,-117.3544922,34.00404605,Site 7A,litterati-92684,01/10/2018 01:51:22 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/6e226a86-24aa-3601-ad21-a81d225ac8f7-92684/180x180.jpg,1981947,food,food,,other,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"cup, plastic",34.00409882/-117.35466855,-117.3546686,34.00409882,Site 7A,litterati-92684,01/10/2018 01:52:34 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/144de570-d71f-3899-8bfe-9b710a37cf6e-92684/180x180.jpg,1981950,plastic,plastic,cup,cups,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"paper, receipt",34.00409286/-117.35467014,-117.3546701,34.00409286,Site 7A,litterati-92684,01/10/2018 01:53:26 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/24aa14db-e7d6-32e4-bf60-4dc2eae2be48-92684/180x180.jpg,1981952,paper,paper,receipt,reciepts,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
plasticstraw,34.00405398/-117.35469232,-117.3546923,34.00405398,Site 7A,litterati-92684,01/10/2018 01:54:45 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/d85069f1-3d8f-3e03-9f98-76cb20b03ec1-92684/180x180.jpg,1981959,plastic,plastic,straw,straws,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, cup, starbucks",34.0040095/-117.35476932,-117.3547693,34.0040095,Site 7A,litterati-92684,01/10/2018 01:55:55 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/a76aa721-41a6-3d8c-9c72-b268a7975688-92684/180x180.jpg,1981963,plastic,plastic,cup,cups,starbucks,Starbucks,1376,Starbucks,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, cup",34.00400969/-117.35476994,-117.3547699,34.00400969,Site 7A,litterati-92684,01/10/2018 01:56:24 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/b6dcd6ea-e267-398d-96cc-ea04e37c56dd-92684/180x180.jpg,1981966,plastic,plastic,cup,cups,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"paper, strawwrapper",34.00402099/-117.35478522,-117.3547852,34.00402099,Site 7A,litterati-92684,01/10/2018 01:57:07 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/7c0b8c60-cee7-3c36-916e-e91d46d187ee-92684/180x180.jpg,1981968,paper,paper,straw wrapper,wrappers,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"foil, candywrapper",34.00396612/-117.3547812,-117.3547812,34.00396612,Site 7A,litterati-92684,01/10/2018 01:58:09 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/03d49eac-ddac-34e1-b8d3-4b30003be493-92684/180x180.jpg,1981970,metal,metal,food wrapper,foodwrappers,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"paper, napkin",34.00398844/-117.35481007,-117.3548101,34.00398844,Site 7A,litterati-92684,01/10/2018 01:59:25 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/28505f75-ded6-32c9-b388-1296ce01edfc-92684/180x180.jpg,1981974,paper,paper,napkin,napkins,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"paper, napkin",34.00398827/-117.35481249,-117.3548125,34.00398827,Site 7A,litterati-92684,01/10/2018 01:59:59 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/239ce365-52d3-3ddf-bab0-2fa33c42485b-92684/180x180.jpg,1981977,paper,paper,napkin,napkins,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, wrapper",34.0039513/-117.3548674,-117.3548674,34.0039513,Site 7A,litterati-92684,01/10/2018 02:00:43 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/42b81c04-91f2-3583-93a0-cf6b0bb6be73-92684/180x180.jpg,1981979,plastic,plastic,wrapper,wrappers,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, bottle, power steering fluid, 7eleven",34.00390505/-117.35494332,-117.3549433,34.00390505,Site 7A,litterati-92684,01/10/2018 02:01:29 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/68f985b3-f65d-385c-9b0b-25621abb5819-92684/180x180.jpg,1981981,plastic,plastic,Bottle,bottles&jars,711,711,1657,7-Eleven,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, bottle, power steering fluid, 7eleven",34.00390505/-117.35494332,-117.3549433,34.00390505,Site 7A,litterati-92684,01/10/2018 02:01:29 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/68f985b3-f65d-385c-9b0b-25621abb5819-92684/180x180.jpg,1981981,plastic,plastic,Bottle cap,bottlecaps,711,711,1657,7-Eleven,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"cigarette, time",34.00384836/-117.3550709,-117.3550709,34.00384836,Site 7A,litterati-92684,01/10/2018 02:02:58 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/1f9f38b6-8c3d-373b-a4fd-f4c021158a42-92684/180x180.jpg,1981982,Plastic,plastic,cigarette,cigarettes/cigartips,time,time,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, bottletopcover",34.00369394/-117.35522884,-117.3552288,34.00369394,Site 7A,litterati-92684,01/10/2018 02:04:59 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/35800096-42e0-3614-a847-6fc4685b1532-92684/180x180.jpg,1981985,plastic,plastic,,other,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
plastic,34.00364611/-117.35530999,-117.35531,34.00364611,Site 7A,litterati-92684,01/10/2018 02:05:59 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/e810b695-fe12-3937-8cbe-e3cba352502f-92684/180x180.jpg,1981986,plastic,plastic,,other,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"bottlecap, plastic",34.00366265/-117.35532311,-117.3553231,34.00366265,Site 7A,litterati-92684,01/10/2018 02:06:29 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/66eb8521-b34f-315c-82b4-1ef85130bd80-92684/180x180.jpg,1981988,Plastic,plastic,Bottle cap,bottlecaps,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
cigarette,34.0037009/-117.35545452,-117.3554545,34.0037009,Site 7A,litterati-92684,01/10/2018 02:07:24 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/1ddef6e6-645c-3366-8b42-f85337d35f26-92684/180x180.jpg,1981991,Plastic,plastic,Cigarette,cigarettes/cigartips,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"wood, foodstick",34.00370048/-117.35545609,-117.3554561,34.00370048,Site 7A,litterati-92684,01/10/2018 02:07:54 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/e0d9115b-33d2-3957-aacb-de0242fb42ac-92684/180x180.jpg,1981994,wood,wood,Food stick,"ice-creamsticks,chipforks,chopsticks,toothpicks",,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"metal, can, kingcobra",34.00370444/-117.35545466,-117.3554547,34.00370444,Site 7A,litterati-92684,01/10/2018 02:09:02 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/a3454bf9-c765-3de9-b62f-a17224ce6326-92684/180x180.jpg,1982002,metal,metal,can,cans,king cobra,king cobra,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
paper,34.00371075/-117.35546212,-117.3554621,34.00371075,Site 7A,litterati-92684,01/10/2018 02:09:51 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/71f39c0a-f63a-33da-9ef6-2715e68213b7-92684/180x180.jpg,1982006,paper,paper,,other,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, film",34.00371374/-117.35544543,-117.3554454,34.00371374,Site 7A,litterati-92684,01/10/2018 02:10:34 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/791fa570-d373-357c-b1dd-d511ea43d358-92684/180x180.jpg,1982010,plastic,plastic,film,film(thin/flexiblee.g.strawwrapper),,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
cigarette,34.00372521/-117.35541329,-117.3554133,34.00372521,Site 7A,litterati-92684,01/10/2018 02:11:22 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/6347feab-9e66-36f9-a8be-abe6b03b6c9d-92684/180x180.jpg,1982016,plastic,plastic,cigarette,cigarettes/cigartips,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, cigar wrapper, cigarette, glass",34.00372533/-117.35541133,-117.3554113,34.00372533,Site 7A,litterati-92684,01/10/2018 02:12:45 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/1bd8d0d9-62cb-3188-bb92-f9f6c7e5020a-92684/180x180.jpg,1982019,plastic,plastic,cigarette wrapper,tobaccopackaging&wrappers,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, cigar wrapper, cigarette, glass",34.00372533/-117.35541133,-117.3554113,34.00372533,Site 7A,litterati-92684,01/10/2018 02:12:45 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/1bd8d0d9-62cb-3188-bb92-f9f6c7e5020a-92684/180x180.jpg,1982019,plastic,plastic,Tobacco Wrapper,tobaccopackaging&wrappers,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, hard",34.0037467/-117.35535728,-117.3553573,34.0037467,Site 7A,litterati-92684,01/10/2018 02:14:02 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/e47f4e85-c2ec-39fb-9bf3-d33fa15f057c-92684/180x180.jpg,1982027,plastic,hard plastics,hard,other,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, cup, juiceitup",34.00375679/-117.35532523,-117.3553252,34.00375679,Site 7A,litterati-92684,01/10/2018 02:14:53 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/e41a4548-69a4-376f-a46c-3447007955ad-92684/180x180.jpg,1982030,plastic,plastic,cup,cups,juiceitup,juiceitup,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, cup, juiceitup",34.00375679/-117.35532523,-117.3553252,34.00375679,Site 7A,litterati-92684,01/10/2018 02:14:53 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/e41a4548-69a4-376f-a46c-3447007955ad-92684/180x180.jpg,1982030,plastic,plastic,lid,lids,juiceitup,juiceitup,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, cup, juiceitup",34.00375679/-117.35532523,-117.3553252,34.00375679,Site 7A,litterati-92684,01/10/2018 02:14:53 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/e41a4548-69a4-376f-a46c-3447007955ad-92684/180x180.jpg,1982030,plastic,plastic,straw,straws,juiceitup,juiceitup,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, lid, mcdonalds",34.00379662/-117.35528855,-117.3552886,34.00379662,Site 7A,litterati-92684,01/10/2018 02:15:45 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/74d78906-1fe4-30f4-ae4d-b477ff1e2f72-92684/180x180.jpg,1982032,plastic,plastic,lid,lids,mcdonalds,McDonalds,922,McDonalds,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"waterbottle, winco",34.00381852/-117.35525737,-117.3552574,34.00381852,Site 7A,litterati-92684,01/10/2018 02:16:47 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/827b0ece-4070-32f7-8552-89909c865cea-92684/180x180.jpg,1982036,plastic,plastic,Beverage Bottle,beveragebottles,winco,Winco,1055,Niagara Bottling,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"waterbottle, winco",34.00381852/-117.35525737,-117.3552574,34.00381852,Site 7A,litterati-92684,01/10/2018 02:16:47 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/827b0ece-4070-32f7-8552-89909c865cea-92684/180x180.jpg,1982036,plastic,plastic,Bottle cap,bottlecaps,winco,Winco,1055,Niagara Bottling,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
cloth,34.00383583/-117.35525736,-117.3552574,34.00383583,Site 7A,litterati-92684,01/10/2018 02:17:23 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/e011b5f8-fc09-302f-aaa2-5f2aab6c96fd-92684/180x180.jpg,1982037,cloth,cloth,,other,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
cigarette,34.00388854/-117.35513956,-117.3551396,34.00388854,Site 7A,litterati-92684,01/10/2018 02:18:38 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/5fbaebe2-cf45-3b28-8f54-6574ba06df21-92684/180x180.jpg,1982038,plastic,plastic,cigarette,cigarettes/cigartips,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"banana, dole",34.00395894/-117.35504744,-117.3550474,34.00395894,Site 7A,litterati-92684,01/10/2018 02:19:27 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/f9a09681-b9b0-3fa6-a7c4-234aab032b01-92684/180x180.jpg,1982043,food,food,banana,food,dole,dole,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"banana, dole",34.00395894/-117.35504744,-117.3550474,34.00395894,Site 7A,litterati-92684,01/10/2018 02:19:27 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/f9a09681-b9b0-3fa6-a7c4-234aab032b01-92684/180x180.jpg,1982043,food,food,banana,food,dole,dole,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
paper,34.00395316/-117.355034,-117.355034,34.00395316,Site 7A,litterati-92684,01/10/2018 02:21:20 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/2ebe0b84-e2e4-34a6-8a6e-6c804e04f6c4-92684/180x180.jpg,1982046,paper,paper,,other,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, spoon",34.00393945/-117.3549761,-117.3549761,34.00393945,Site 7A,litterati-92684,01/10/2018 02:22:04 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/56694a71-338a-3545-a919-e0eb605325f3-92684/180x180.jpg,1982048,plastic,plastic,spoon,utensil,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"cigarette, marlboro",34.00395498/-117.35497819,-117.3549782,34.00395498,Site 7A,litterati-92684,01/10/2018 02:22:50 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/7fe578d7-a677-3eca-a62c-c090ca928b7b-92684/180x180.jpg,1982050,plastic,plastic,cigarette,cigarettes/cigartips,marlboro,Marlboro,1150,Philip Morris,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"cigarette, marlboro",34.00394771/-117.3549784,-117.3549784,34.00394771,Site 7A,litterati-92684,01/10/2018 02:23:04 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/eee99eb6-0371-3dc4-b74f-177f35cf895b-92684/180x180.jpg,1982052,Plastic,plastic,cigarette,cigarettes/cigartips,marlboro,Marlboro,1150,Philip Morris,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"banana, dole, plastic, wrapper",34.00395022/-117.35497907,-117.3549791,34.00395022,Site 7A,litterati-92684,01/10/2018 02:23:22 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/0368917d-b990-36f5-b587-7780e1f4d9e8-92684/180x180.jpg,1982056,food,food,banana,food,dole,dole,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"banana, dole, plastic, wrapper",34.00395022/-117.35497907,-117.3549791,34.00395022,Site 7A,litterati-92684,01/10/2018 02:23:22 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/0368917d-b990-36f5-b587-7780e1f4d9e8-92684/180x180.jpg,1982056,plastic,plastic,food wrapper,foodwrappers,dole,dole,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"food, napkin",34.00398082/-117.35499828,-117.3549983,34.00398082,Site 7A,litterati-92684,01/10/2018 02:24:35 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/ce5d3e0d-a0e5-3e2b-ba9d-f0b58110b8d7-92684/180x180.jpg,1982058,paper,paper,napkin,napkins,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"food, napkin",34.00398082/-117.35499828,-117.3549983,34.00398082,Site 7A,litterati-92684,01/10/2018 02:24:35 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/ce5d3e0d-a0e5-3e2b-ba9d-f0b58110b8d7-92684/180x180.jpg,1982058,food,food,,other,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"cigarette, camel",34.00398398/-117.35500197,-117.355002,34.00398398,Site 7A,litterati-92684,01/10/2018 02:26:12 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/8705ec62-64ad-378a-9947-a2cfba5dc291-92684/180x180.jpg,1982062,plastic,plastic,cigarette,cigarettes/cigartips,camel,Camel,1311,RJ Reynolds,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
paper,34.00398688/-117.35498888,-117.3549889,34.00398688,Site 7A,litterati-92684,01/10/2018 02:27:05 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/28744e5d-bbfd-3a66-9e97-a81b4a5479d6-92684/180x180.jpg,1982064,paper,paper,,other,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, starbucks, cup",34.00399538/-117.35493919,-117.3549392,34.00399538,Site 7A,litterati-92684,01/10/2018 02:27:52 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/95236e6a-2c33-3f67-8349-7275e6005810-92684/180x180.jpg,1982067,plastic,plastic,cup,cups,starbucks,Starbucks,1376,Starbucks,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, starbucks, cup",34.00399538/-117.35493919,-117.3549392,34.00399538,Site 7A,litterati-92684,01/10/2018 02:27:52 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/95236e6a-2c33-3f67-8349-7275e6005810-92684/180x180.jpg,1982067,plastic,plastic,lid,lids,starbucks,Starbucks,1376,Starbucks,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, starbucks, cup",34.00399538/-117.35493919,-117.3549392,34.00399538,Site 7A,litterati-92684,01/10/2018 02:27:52 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/95236e6a-2c33-3f67-8349-7275e6005810-92684/180x180.jpg,1982067,plastic,plastic,straw,straws,starbucks,Starbucks,1376,Starbucks,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
cigarette,34.00397943/-117.35490686,-117.3549069,34.00397943,Site 7A,litterati-92684,01/10/2018 02:28:44 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/2663b8e9-5376-39c2-b232-7e1464a91140-92684/180x180.jpg,1982070,plastic,plastic,cigarette,cigarettes/cigartips,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"plastic, hard",34.00402524/-117.35489114,-117.3548911,34.00402524,Site 7A,litterati-92684,01/10/2018 02:29:12 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/60f3c911-6c68-3eca-b20d-2078bfc3802d-92684/180x180.jpg,1982071,plastic,hard plastics,hard,other,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
waterbottle,34.0040336/-117.35489822,-117.3548982,34.0040336,Site 7A,litterati-92684,01/10/2018 02:29:57 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/3d08978c-7502-32b3-a896-714dc98ea290-92684/180x180.jpg,1982073,plastic,plastic,Beverage Bottle,beveragebottles,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
waterbottle,34.0040336/-117.35489822,-117.3548982,34.0040336,Site 7A,litterati-92684,01/10/2018 02:29:57 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/3d08978c-7502-32b3-a896-714dc98ea290-92684/180x180.jpg,1982073,plastic,plastic,bottle cap,bottlecaps,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
styrofoam,34.00403785/-117.35488661,-117.3548866,34.00403785,Site 7A,litterati-92684,01/10/2018 02:30:34 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/ee21f8ee-3e16-3760-ad2c-e2150ef806fc-92684/180x180.jpg,1982075,plastic,plastic,foam,other,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"receipt, paper, bankofamerica",34.00404928/-117.35488794,-117.3548879,34.00404928,Site 7A,litterati-92684,01/10/2018 02:31:25 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/66bde1d1-47b2-396c-8a65-5898b5d54a7e-92684/180x180.jpg,1982078,paper,paper,receipt,reciepts,bankofamerica,bankofamerica,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
