Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,id,url,lon,lat,photo_url,thumbnail_url,photo_timestamp,Material,Item,Brand
"plastic,ribbon",id: 2202978<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/9d4518e0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>lon: -117.3629268<br>lat: 33.9968323<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/9d4518e0-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/9d4518e0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>photo_timestamp: 2018-11-29 00:38:38+00<br>Material: <br>Item: <br>Brand: ,,,,,-1,0,-1,,,2202978,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/9d4518e0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,-117.3629268,33.9968323,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/9d4518e0-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/9d4518e0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,2018-11-29 00:38:38+00,,,
"plastic,cigarettebutt",id: 2202977<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/9c57aba0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>lon: -117.3629307<br>lat: 33.99683175<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/9c57aba0-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/9c57aba0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>photo_timestamp: 2018-11-29 00:38:19+00<br>Material: <br>Item: <br>Brand: ,,,,,-1,0,-1,,,2202977,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/9c57aba0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,-117.3629307,33.99683175,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/9c57aba0-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/9c57aba0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,2018-11-29 00:38:19+00,,,
"plastic,cup",id: 2202976<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/9b666dd0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>lon: -117.3630805<br>lat: 33.99665555<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/9b666dd0-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/9b666dd0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>photo_timestamp: 2018-11-29 00:37:21+00<br>Material: <br>Item: <br>Brand: ,,,,,-1,0,-1,,,2202976,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/9b666dd0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,-117.3630805,33.99665555,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/9b666dd0-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/9b666dd0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,2018-11-29 00:37:21+00,,,
"paper,bag,mcdonalds",id: 2202975<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/968669a0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>lon: -117.3630967<br>lat: 33.99661199<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/968669a0-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/968669a0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>photo_timestamp: 2018-11-29 00:36:26+00<br>Material: <br>Item: <br>Brand: ,,,,,-1,0,-1,,,2202975,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/968669a0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,-117.3630967,33.99661199,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/968669a0-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/968669a0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,2018-11-29 00:36:26+00,,,
"paper,bag,little ceasars",id: 2202974<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/95505aa0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>lon: -117.3631054<br>lat: 33.99656448<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/95505aa0-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/95505aa0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>photo_timestamp: 2018-11-29 00:35:43+00<br>Material: <br>Item: <br>Brand: ,,,,,-1,0,-1,,,2202974,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/95505aa0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,-117.3631054,33.99656448,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/95505aa0-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/95505aa0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,2018-11-29 00:35:43+00,,,
"paper,wrapper",id: 2202973<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/945afe20-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>lon: -117.3631687<br>lat: 33.99647315<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/945afe20-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/945afe20-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>photo_timestamp: 2018-11-29 00:34:40+00<br>Material: <br>Item: <br>Brand: ,,,,,-1,0,-1,,,2202973,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/945afe20-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,-117.3631687,33.99647315,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/945afe20-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/945afe20-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,2018-11-29 00:34:40+00,,,
"plastic,cup,farmer boys",id: 2202972<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/92ba4670-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>lon: -117.3631637<br>lat: 33.99630529<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/92ba4670-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/92ba4670-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>photo_timestamp: 2018-11-29 00:33:56+00<br>Material: <br>Item: <br>Brand: ,,,,,-1,0,-1,,,2202972,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/92ba4670-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,-117.3631637,33.99630529,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/92ba4670-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/92ba4670-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,2018-11-29 00:33:56+00,,,
styrofoam,id: 2202971<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/919b9000-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>lon: -117.3628541<br>lat: 33.99668867<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/919b9000-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/919b9000-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>photo_timestamp: 2018-11-29 00:32:27+00<br>Material: <br>Item: <br>Brand: ,,,,,-1,0,-1,,,2202971,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/919b9000-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,-117.3628541,33.99668867,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/919b9000-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/919b9000-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,2018-11-29 00:32:27+00,,,
"plastic,container,flarp",id: 2202970<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/906002c0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>lon: -117.3625551<br>lat: 33.9971139<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/906002c0-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/906002c0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>photo_timestamp: 2018-11-29 00:31:18+00<br>Material: <br>Item: <br>Brand: ,,,,,-1,0,-1,,,2202970,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/906002c0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,-117.3625551,33.9971139,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/906002c0-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/906002c0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,2018-11-29 00:31:18+00,,,
"plastic,lid",id: 2202969<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/8e6c9730-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>lon: -117.3625546<br>lat: 33.99732444<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/8e6c9730-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/8e6c9730-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>photo_timestamp: 2018-11-29 00:29:55+00<br>Material: <br>Item: <br>Brand: ,,,,,-1,0,-1,,,2202969,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/8e6c9730-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,-117.3625546,33.99732444,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/8e6c9730-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/8e6c9730-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,2018-11-29 00:29:55+00,,,
"styrofoam,cup",id: 2202968<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/8cb9b710-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>lon: -117.3621339<br>lat: 33.99765697<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/8cb9b710-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/8cb9b710-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>photo_timestamp: 2018-11-29 00:28:25+00<br>Material: <br>Item: <br>Brand: ,,,,,-1,0,-1,,,2202968,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/8cb9b710-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,-117.3621339,33.99765697,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/8cb9b710-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/8cb9b710-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,2018-11-29 00:28:25+00,,,
"plastic,cigarettebutt",id: 2202967<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/863f8ae0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>lon: -117.3621121<br>lat: 33.99768294<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/863f8ae0-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/863f8ae0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg<br>photo_timestamp: 2018-11-29 00:27:55+00<br>Material: <br>Item: <br>Brand: ,,,,,-1,0,-1,,,2202967,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/863f8ae0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,-117.3621121,33.99768294,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/29/863f8ae0-f373-11e8-8d20-5ddbbe4e26ba-101265.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/29/863f8ae0-f373-11e8-8d20-5ddbbe4e26ba-101265/180x180.jpg,2018-11-29 00:27:55+00,,,
